date,home_team,away_team,result,odds_home_win,odds_draw,odds_away_win,home_goals_scored_rolling,home_goals_conceded_rolling,home_shots_rolling,home_shots_on_target_rolling,home_fouls_rolling,home_corners_rolling,home_yellow_cards_rolling,home_red_cards_rolling,away_goals_scored_rolling,away_goals_conceded_rolling,away_shots_rolling,away_shots_on_target_rolling,away_fouls_rolling,away_corners_rolling,away_yellow_cards_rolling,away_red_cards_rolling,home_elo_before,away_elo_before,prob_home,prob_draw,prob_away,xG,xG.1
2021-10-03,Tottenham,Aston Villa,2,2.1,3.6,3.4,0.6,1.8,8.6,4.2,9.4,5.0,1.8,0.2,1.4,0.8,11.4,3.8,10.8,5.4,2.6,0.0,1497.6153753190135,1512.9188192091074,0.45434298440979953,0.2650334075723831,0.2806236080178174,1.3,1.2
2021-10-03,West Ham,Brentford,1,1.75,3.75,4.75,1.8,1.2,14.6,5.0,8.2,5.6,0.8,0.2,1.2,1.0,10.2,2.6,9.4,2.4,2.0,0.2,1517.7927311089265,1509.5117455044997,0.5449330783938815,0.25430210325047803,0.20076481835564056,1.5,1.2
2021-10-03,Liverpool,Man City,0,2.87,3.5,2.4,2.4,0.8,24.4,8.2,10.2,10.4,1.0,0.0,2.4,0.0,19.8,5.4,8.8,9.8,1.2,0.0,1537.0011890476844,1529.2000554632302,0.33158331030671456,0.2718983144515059,0.3965183752417795,0.9,1.2
2021-10-16,Man City,Burnley,2,1.12,9.0,19.0,1.8,0.4,19.0,5.2,8.6,9.4,1.6,0.0,0.8,1.4,12.8,3.8,9.8,6.4,3.2,0.0,1529.424552410923,1462.4623194596772,0.8450286617908678,0.10515912235619687,0.04981221585293536,2.1,0.9
2021-10-16,Norwich,Brighton,0,3.6,3.4,2.1,0.4,1.6,11.2,2.8,8.2,5.2,2.0,0.0,0.8,0.8,11.8,3.2,9.0,5.4,2.0,0.0,1443.6121037165667,1527.3019605669633,0.26503340757238314,0.28062360801781744,0.4543429844097996,1.2,0.8
2021-10-16,Southampton,Leeds,2,2.3,3.5,3.0,0.6,1.2,13.4,3.8,10.6,4.2,2.2,0.2,0.8,1.4,15.6,4.8,9.8,4.6,2.0,0.2,1472.6884982950885,1482.1385425742847,0.41257367387033406,0.27111984282907664,0.3163064833005894,1.9,0.2
2021-10-16,Watford,Liverpool,1,8.5,5.5,1.33,0.8,1.2,9.4,3.4,15.6,5.0,2.8,0.0,2.4,1.2,20.2,7.2,11.0,9.4,1.6,0.0,1478.441070174302,1536.7766920999916,0.11190148386109836,0.17293865687624294,0.7151598592626587,0.5,3.3
2021-10-16,Aston Villa,Wolves,1,2.15,3.25,3.5,1.2,1.2,12.2,4.0,12.0,6.4,2.2,0.0,1.0,0.8,10.4,3.4,10.6,4.4,2.0,0.0,1502.478635320751,1492.6977693131034,0.43940125543215836,0.2906808305166586,0.269917914051183,1.0,2.0
2021-10-16,Leicester,Man United,2,3.5,3.6,2.05,1.4,1.6,12.0,3.4,8.8,6.8,1.6,0.0,1.6,0.8,17.8,6.0,9.0,8.0,1.6,0.0,1489.3559163100024,1526.204867706042,0.2717731541152642,0.2642238998342847,0.46400294605045117,2.4,1.2
2021-10-16,Brentford,Chelsea,1,6.5,3.8,1.57,1.6,1.2,10.0,3.2,10.2,2.6,2.4,0.2,2.0,0.6,12.6,5.2,10.6,5.8,1.6,0.2,1519.7500463060499,1536.6483979467214,0.14597147121430845,0.24968804286658022,0.6043404859191114,1.4,0.3
2021-10-17,Newcastle,Tottenham,1,3.5,3.6,2.05,1.2,2.0,13.4,4.6,7.8,4.2,2.0,0.0,0.8,2.0,10.4,4.6,10.2,5.2,1.4,0.2,1462.5038950961446,1508.05555920737,0.2717731541152642,0.2642238998342847,0.46400294605045117,0.4,1.7
2021-10-17,Everton,West Ham,1,2.5,3.4,2.8,1.6,1.0,12.4,3.6,8.6,4.0,1.4,0.0,1.2,1.4,15.6,4.6,9.8,5.8,1.2,0.2,1525.660632363667,1507.5544303073764,0.38049560351718625,0.2797761790567546,0.33972821742605913,0.9,1.2
2021-10-18,Arsenal,Crystal Palace,0,1.6,3.8,6.0,1.0,1.2,12.8,3.8,8.2,4.0,1.4,0.2,1.6,1.6,13.2,3.0,11.6,4.6,1.4,0.0,1502.1182320452012,1494.1258787797738,0.5925155925155925,0.24948024948024947,0.15800415800415799,1.7,0.7
2021-10-22,Arsenal,Aston Villa,2,1.83,3.75,4.2,1.4,0.6,16.0,5.0,8.2,5.2,1.2,0.0,1.4,1.6,13.6,4.0,10.6,7.0,2.0,0.0,1501.8882341950211,1492.1971937121482,0.5198277142432793,0.25367592455072036,0.2264963612060003,2.7,1.4
2021-10-23,Chelsea,Norwich,2,1.18,7.0,15.0,2.0,0.4,12.4,4.8,11.4,6.2,1.4,0.0,0.2,1.2,11.4,2.6,7.6,5.0,2.2,0.0,1546.1624074476294,1445.975359851656,0.8017715332926084,0.13515577275503968,0.06307269395235185,3.1,0.1
